review,food_quality,service,price
pesanan saya malah di lewati padahal datang lebih dulu menunggu sampai Lama saya pesan sambel bawang sama milo es dibungkus yang dimasukkan cuma sambalnya satu sama milo es lah sambalnya yang kemana dong bukan soal nominal uang nya tapi tau sendiri kan bagaimana kalau pesanan enggak sesuai dengan uang yang kita keluarkan tolong untuk majanemen nya geprek kak Ros supaya tim nya di benahi lagi apalagi kasir sama karyawannya sering terjadi mis komunikasi padahal kalau masakan kualitas oke lah cuma kecewa saja sama pelayanannya terima kasih,neutral,negative,neutral
tempat yang nyaman aku biasanya nugas disini sampai pagi enak banget minumannya juga enakk th terbaik pokoknyaa,positive,positive,neutral
mie hompimpa nya lumayan dan porsinya pas toppingnya lengkap dan kuantitasnya lumayan Ada ayam siomay kering dan lainnya selain itu Ada beberapa pilihan menu yang bisa dicoba di antaranya Ada mie gacoan siomay udang keriting,positive,neutral,neutral
enak cepat dan murah,positive,positive,positive
pelayananannya ramah tempatnya nyaman mbak marcel baik hehehehe mbak CIA juga semua deh baik wkwkwkwkwk,neutral,positive,neutral
tempatnya agak bau kayak semacam teluk got mengira pas masuk saja tapi pas duduk di dalam ltpaper size juga masih kecium bau nya,neutral,negative,neutral
pelayanan nya kurang ramah kumuh tisu habis tidak direfil udara wastafel kecil kurang nyaman untuk makan ditempat,neutral,negative,neutral
tempatt ee bagus indahh luass dan nyaman,neutral,neutral,neutral
tempatnya pw banget entah buat nongkrong ataupun nugas makanannya super enakk wajib kesini si kalo mau nugas,positive,neutral,neutral
pelayanan oke parkiran mobil lumayan Ada spasi makanan enak terutama sambelnya pedas banget,positive,positive,neutral
minimal gerak cepat bersihin meja,neutral,positive,neutral
jika tidak menyiapkan server untuk mengirim makanan minuman tolong di belikan loudspeaker untuk memanggil pelanggan,neutral,negative,neutral
pertama Kali kesini tempatnya bagus estetika nyaman lah pokoknya buruan kesini,neutral,positive,neutral
beli ayam mawar sayap ambil jauh enggak pakai nasi katanya enggak bisa harus pakai nasi padahal di menu Ada yang enggak pakai nasi bagaimana nih karyawanny kok begitu ya,neutral,negative,neutral
saya pesan lewat grabfood saya cuman permintaan tidak di geprek sambal di pisah enggak bisa padahal cuman bungkuskan tidak di geprek sambel di pisah tidak bisa apa anak saya mau makan sambal sombong mentang sudah terkenal banyak aturan,negative,negative,neutral
antrian seperti gacoan pada umumnya namun selama antri kita disodorkan barcode menu sehingga lebih efisien pengambilan menu nyala titik tanpa menggunakan alarm seperti di gacoan lainnya masing masing butir menu diletakkan di meja saji sesuai gambar tempat dan fasilitas sangat instagramable minusnya kursi dan meja masih jauh dari cukup sebenarnya kalau sistem kursi disesuaikan dengan tipe pelanggan yang datang maka Hal tersebut bisa diatasi contoh pelanggan mayoritas datang berdua sedangkan beberapa datang berkelompok disini seharusnya dicermati karena fitur meja kursi untuk pelanggan yang hanya berdua tidak Ada sehingga pelanggan yang datang berkelompok tidak mendapatkan tempat duduk,neutral,negative,neutral
gepreknya enak sambelnya pas dan terjangkau untuk mahasiswa,positive,neutral,positive
pelayanan resto sangat cepat,neutral,positive,neutral
resto enggak jelas pesanan tempong Lama setengah jam lebih,neutral,negative,neutral
sangat mengecewakan pesan antrinya menit baru datang kalo sudah di samperin ke petugasnya ini oetugasnya lalai enggak jelas banget pesennya mie gacoan malah enggak di kasih kecap,negative,negative,neutral
makanan enak apalagi ayam geprek mozzarella itu gurih juga,positive,neutral,neutral
koyornya banyak baksonya daging banget,positive,neutral,neutral
sayurnya buaanyaakk gratis enak pol,positive,neutral,positive
warung nasi tempong yang ramai pengunjungnya Ada banyak pilihan lauknya dadar telur ayam goreng rempelo ati udang goreng ikan laut goreng telur asin ikan asin pepes ikan dll sambalnya pedas mantab bisa bungkus lebih nikmat makan di tempat lumayan enak rasanya murah meriah harganya hanya saja kurang nyaman ditempat parkirnya,positive,negative,positive
salah satu kopi kopian di malang yang enggak Ada capeknya buat mengasih promo cuma rbkeyboard- key- name bisa dapat varian minuman kopinya enak hijau teanya enak thai teanya enak belum pernah mencoba nongkrong disana jadi enggak tau ambiencenya keseluruhan oke,positive,positive,positive
makanan enak pasti hangat cepat kalo tidak antri dan murah bagi pengandar,positive,positive,positive
untuk pendatang baru ini bisa jadi pilihan yang pas untuk kalian yang mau merasakan tempat ngopi yang lain ada sekitar tingkat yang lumayan nyaman tempatnya minumannya enak makanannya murah dan bersih pelayanannya juga ramah sistemnya antri di kasir pesan dan bayar lalu dikasih struk dan alat antrian bisa cari tempat duduk dulu jika pesanan siap alat akan bunyi lalu diambil sendiri sistemnya modern dan pelayanannya baik menurut saya jangan lupa pesan kue pancong enak banget,positive,positive,positive
makan di kak mawar mantap dengan harga promo setiap hari dari duli makan di kak mawar suhat nyaman murah sama ria pokoknya,positive,positive,positive
kenapa hari ini saya oder online kok enggak bisa apakah hari ini geprek kak mawar suhat tutup semuanya oderan online sudah saya coba tolong diperbaiki lagi,neutral,negative,neutral
tempatnya nyaman pelayanan oke makanannya rekomen banget,positive,neutral,neutral
sampai sekarang masih beli mendapatkan siang ini coba ambil jauh ganyampek menitan sudah bisa bawa pulang pancong kopstud dulu awal awal kesini rame banget cari tempat duduk saja susah soal rasa belum berubah rekomendasi buat anak muda yang ingin jajan kekinian rame rame dan dengan kantong terbatas,positive,negative,positive
beli lv rasanya kayak lv cabenya dikit banget mana enggak diaduk rata jatuhnya kayak cabenyaa dipisahh dan benar-benar dikitt bekas cabenya dipiring saja sedikit itu,negative,neutral,neutral
tempatnya nyaman enak banget minuman apalagi pancongnya terus harganya murah banget lagi cocok buat pelajar mahasiswa yang mau nongki tapi hemat,positive,positive,positive
makanannya si enak cuma pelayanannya kurang waktu pesan mas mas kasirnya kurang ramah ekspresinya jutek pernah juga pesan bawa pulang salah pesennya apa dibuka pas pulang lain kalau kasirnya jutek orang yang mau pesan beli makan saja enggak suasana dan malas,positive,negative,neutral
beli kue pukis mini berharap empuk malah dapet adonan keras bayarannya bikin nyesel,negative,neutral,negative
tempat cukup nyaman namun bisa di perluasan lagi,neutral,neutral,neutral
pelayanan nya bagus tempat nya juga bagus,neutral,positive,neutral
sangat cocok untuk mengerjakan tugas tempat nyaman dan sangat pas pelayanan ramah dan cepat tidak sampai menit,neutral,positive,neutral
tempat nya nyaman enak juga buat buka puasa pegawainya pun ramah ramah dan cepat dalam pelayanan nya bintang pokok jos,positive,positive,neutral
makan martabak sambil pura pura nikmat biar ga nyesel udah bayar mahal,negative,neutral,negative
mantap kuah baksonya kerasa banget kaldunya sedap walau dimakan beningan tanpa kecap saus tomat sambel isian baksonya juga enak enak semua pentol baksonya berdaging banget coy cuma minus enggak Ada isian bakso siomay saja sih disini jadi adanya beberapa varian isian bakso pentol bakso goreng mekar goreng panjang tahu gembos soun dan mie kuning Ada lontong dan kerupuk kalo mau bahkan mie lidi juga Ada kalo mau ngemil haha konsepnya diri layanan jadi makanan ambil sendiri lalu bayar di kasir tempatnya cukup luas Ada lantai juga Daftar putar lagu yang diputar juga naik tapi tanggal lagunya sangat Menyenangkan pas makan sambil dengarkan lagu sempat Ada lalat terbang pas makan untung cuma lalatnya keseluruhan soo baik Pasti akan Ayo kembali,positive,positive,neutral
lokasi gampang ditemukan untuk porsi sangat mengenyangkan dengan harga yang bersahabat kami pesan nasi tempong dengan lauk ayam goreng lele goreng telur dadar es th kerupuk dan pepes ikan kecil harga yang harus kami bayar hanya ribu saya suka dengan lauknya hanya saja sambal tidak sesuai selera saya karena terlalu asam dan baunya sepeti sayur basi sambal tidak terlalu pedas bagi saya,negative,neutral,positive
pelayanan ramah menawarkan pilihan lain lainnya,neutral,positive,neutral
ayam geprek disini ayamnya kering sambelnya pedes doang ga enak tapi harganya sok resto mahal,negative,neutral,negative
bakso nya enak suasananya nyaman tempatnya juga bersih sangat direkomendasikan makan bakso disini,positive,positive,neutral
suasananya cocok untuk belajar ataupun me waktu harganya juga terjangkau dengan makanan dan minuman yang enak pelayanannya juga ramah dan hangat cocok banget untuk dijadikan tujuan nugas ataupun utama,positive,positive,positive
baksonya mantab koyornya juga segar Ada minum jamu juga,positive,neutral,neutral
kopian favorit ku banget,positive,neutral,neutral
baksoonyaa mantap betul pasti jadi langganan setiap utama ke malang,positive,neutral,neutral
kuah bakso encer rasanya kosong baksonya keras harga bikin ilfeel berat,negative,neutral,negative
bumbu kacang siomaynya encer manis aneh harga penuh percaya diri,negative,neutral,negative
tempat nyaman bersih makanan dan minuman murah,neutral,positive,positive
pelayananyaa ramah,neutral,positive,neutral
tempatnya nyaman cocok buat nongkrong dan wfc pelayanannya cepat dan kasir ramah,neutral,positive,neutral
makanan nya enak dan memuaskan pesan Kali tapi porsi dan rasa kecap nya berbeda tapi bernilai tapi beli kalau di gacoan stasiun,positive,neutral,positive
kue pukis mini rasanya kayak adonan setengah matang mahal pula,negative,neutral,negative
pelayanan sangat baik makanannya juga enak tempat yang bersihh,positive,positive,neutral
baksonya enak besar murah,positive,neutral,positive
terjangkau harganya,neutral,neutral,positive
nasi jagung sok autentik tapi rasanya tawar sayurnya layu mahalnya kebangetan,negative,neutral,negative
pelayanan ramah tempat nyaman enak buat nugas,positive,positive,neutral
tekstur jagung keras nasi ga nyatu harga pede banget,negative,neutral,negative
bakso enak tapi bakso keju tidak seperti Ada iklan ig dan sering habis sayuran nya melimpah jadi rekomen,negative,neutral,neutral
mantap tempatnya sangat nyamann,neutral,neutral,neutral
menunya banyaj pilihan dan yang paling rekomen crisbarnya sih,positive,neutral,neutral
tempatnya enak pw banget buat ngelaprak terus pelayanannya juga ramah sekali recomended buat nugas dan nongki apalagi jam,positive,positive,neutral
saya pesan ayam geprek lewat gojek sampainya saya makan kok di nasinya Ada sehelai benang nya kayak tempat beras itu ya sambelnya kurang banyak enggak kayak seperti biasanya juga ayamnya juga terlalu asin tolonglah di perbaiki pelayanannya terima kasih,negative,negative,neutral
datang buat makan enak pulang bawa pelajaran hidup,negative,neutral,negative
pelayanannya ramah tempatnya luas cocok untuk nongkrong,neutral,positive,neutral
enggak tau ya kok sekarang mi nya jadi lembek padahal dulu aku suka yang di sukun mi nya set matang terus pesan tingkat sekarang pedas banget kayak tingkat apa salah menulis ya karena di busa nya tulisannya l,negative,neutral,neutral
pelayanan nya baik dan kasirnya ramah apalagi makanan sama minumannya juga murahh,neutral,positive,positive
semua karyawan nya cepat tanggap dan pelayanan ramah cekalii enggak harus menunggu Lama buat maem,neutral,positive,neutral
harganya disarankan untuk kalangan mahasiswa cocok untuk diskusi mengerjakan tugas dan nongkrong bersama teman sahabat letaknya strategis karena dekat dengan kampus uin maliki malang,neutral,positive,positive
penantiannya Lama banget lebih dari satu jam saya pesan jam dan pesanannya siap jam tapi makanannya baru datang satu jam kemudian jadi saya menunggu sampai anak saya rewel karena lapar sama,neutral,negative,neutral
seepp bagus dipertahankan dan terus ditingkatkan,positive,positive,neutral
tempatt luas nyamann cocok banget buat nongki bareng teman,neutral,positive,neutral
sangat ramah,neutral,positive,neutral
es kelapa muda sok premium kualitas kalah sama pinggir jalan,negative,neutral,negative
tempatnya nyaman cocok buat nugas mahasiswa,neutral,neutral,neutral
pelayanan ramah minumanya enak dan harganya terjangkau,positive,positive,positive
tempat strategis mantap buat nugas nongkrong,neutral,neutral,neutral
enak parah,positive,negative,neutral
enak dan harga terjangkau ramah,positive,positive,positive
sangat disayangkan berbeda dengan geprek kak mawar di dinoyo tempat cuci tangan kurang sip kurang leluasa untuk menggosok tangan nasi enggak bisa ambil sesuka kita dan bayar parkir,negative,negative,neutral
pelayanannya ramah tempat nya bersih,neutral,positive,neutral
enak tempatnya pelayanan juga ramah,positive,positive,neutral
pelayanan nya cepat tempatnya bersihh mbak nya ramah semuaa gacoan sawojajar terbaik deh,neutral,positive,neutral
tempatnya di pinggir jalan raya jadi rame pengunjung tapi Ada lantai dan tempat duduknya banyak jadi enggak khawatir enggak dapat tempat duduk cuma kalo lagi rame cari parkir untuk mobil agak susah kalo rasanya ya seperti mie gacoan pada umumnya di beberapa daerah tetap enak disini banyak variasi menunya dan pelayannya ramah tempatnya sangat bersih,positive,positive,neutral
saya pengandar online sekitar jam pagi waktu nguras bau nya sangat menyengat di bawah tangga ruang tunggu ojol sangat mengganggu saat ojol menunggu orderan,neutral,negative,neutral
pelayanannya ramah dan cepat rasanya enak pembayaran juga sederhana atas banget dah,positive,positive,negative
pelayanan ramah mbak nya cantik dan baik banget,neutral,positive,neutral
cukup nyaman tapi antriannya lumayan panjang jadi harap bersabar,neutral,negative,neutral
untuk harga semua menu makanan minuman murah pujaan anak Kos rasanya enak untuk ayam sambalnya,positive,neutral,positive
katanya teh tarik spesial ternyata cuma teh manis biasa harga bikin dompet panas,negative,neutral,negative
makan bakso bakar pedas sambil pura pura kuat padahal nyesel bayar mahal,negative,neutral,negative
pelayanan enak mudah terpercaya baik bintang,neutral,positive,neutral
pesan makan via ojol terus mie gacoannya toppingnya Ada beginiannya rontokan spon cuci piring nih kalian mengikuti di makanan,negative,negative,neutral
sama saya allah alhamdulillah ayam geprek tertop markotop,positive,neutral,neutral
pelayanan nya baik ramah tempat nya nyaman makanan dan minumannya sangat rekomendasi untuk sambil ngerjain tugas,positive,positive,neutral
porsi bakso bakar pedas kecil rasanya nanggung bayarannya bikin nyesel,negative,neutral,negative
mantap sudah langsung mengantri sebelum buka wangii,neutral,positive,neutral
pelayanannya ramah terus tempatnya nyaman,neutral,positive,neutral
makanannya enak sudah berkali Kali makan disini sakit sakit pelayanannya tidak buruk kadang Ada pesananan yang telat diantar tapi kalo lagi rame banget saja tempatnya keseluruhan hebat,neutral,neutral,neutral
mantab pilih lokasi geprek kak mawar yang berbeda karena mau bayar pakai shopeepay biar dapat cashback terimakasih,neutral,positive,positive
nasi gorengnya ga pantes dihargai segitu,negative,neutral,negative
pelayanan ramah cepat kalau enggak Ada uang kecil bisa pakai uang elektronik,neutral,positive,neutral
temopat makan buka jam ramah parkir motor Ada yang paling penting byar parkir rebu,neutral,positive,neutral
nasi tempong pulang sip yang pernah saya makan istimewa sambelnya atas markotop pemiliknya juga ramah saya meminta tambah sambal kebetulan sambelnya yang baru belum selesai di ulek jadi di meminta tunggu sebentar eh belum minta sambel satu piring kecil di antar ke meja sangat epresiate deh,positive,positive,neutral
pelayanan sangat kurang karena Lama sekali dan lemot sekali Ada orang baru pesan sudah dilayani terlebih dahulu sedangkan yang pesan sejak awal beli dilayani,neutral,negative,neutral
harga mahasiswa pelajar rasa enak dan mantap porsi pas,positive,neutral,positive
makannya enak murah banget cocok buat anak mahasiswa,positive,neutral,positive
masakannya enak tempat bersih dan nyaman pinggir jalan raya,positive,positive,neutral
warung nasi tempong mbak har mantap sambelnya mantap pedasnya lauknya bisa pilih pilihannya cukup banyak saya mencoba cumi hitam dan pepes enak kolam untuk harga menengah sesuai dengan rasa dan porsi kebersihan oke Ada mushola pelayanan cepat dan oke yang penting rasa sambal enak,positive,positive,positive
kenapa kalau pesan lewat ojol Lama sekali pelayanan hampir satu jam menunggu,neutral,negative,neutral
makanannya enakk sekali pakee banget apalagi dimsumnya sama nama minumannya unikk suasanaa juga apalagii karyawannyaa ramaa cantikk ganteng Hehe,positive,positive,neutral
mantap solusi lapar kapan sajaa mungkin agak dipercepat merapikan tempat orang habis makan,neutral,neutral,neutral
suasana adem karena Ada kipas angin besar,neutral,positive,neutral
tempatnya nyaman banget buat makan pelayanannya juga okee,neutral,neutral,neutral
enak langganan dari jaman sekolah cuma membuat kesini pelayanannya kurang ramah masih ramah mbok nah sendiri orangnya ramah yang kasirnya enggak pernah senyum cuma tertutup rasanya yang Legenda jadi ya abaikan saja yang enggak ramah,positive,negative,neutral
tempatnya luas nyaman pelayanan cepat dan cocok buat nugas atau sekedar berkumpul dengan keluarga,neutral,positive,neutral
muantap benar iki warung makannya terutama sambel mentahan dan lalapannya harganya sangat terjangkau,positive,neutral,positive
enak banget harga terjangkau,positive,neutral,positive
tempat nya yaman buat nugas dan juga pelayanannya cepat dan tanggap disarankan banget makanannya juga enakk,positive,positive,neutral
tempatnya nyamann dann luass pelayanan nya baik,neutral,positive,neutral
makanan disini murah sekali jika dibandingkan ayam geprek lainnya,neutral,neutral,positive
pelayanannya ramah dan penyajiannya cepat,neutral,positive,neutral
rekomendasi sekali buat yang lagi ke banyuwangi sambelnya juoss enak pokok e mantap murah meriah,positive,neutral,positive
sempat beli pancong sama minuman di aplikasi pesan antar yang dikirim cuma pancongnya saja terus hubungin nomor cs responnya Lama tapi akhirnya dikirim juga kok minumannya saran semoga kedepannya enggak kelupaan lagi deh sama pesanannya pelanggan semoga pelayanannya membuat baik lagi terima kasih,neutral,negative,neutral
tempatnya enak nyaman pelayanannya cepat,positive,positive,neutral
yesel enggak mampir di kak mawar sudah nasik gratis sepuasnya,neutral,neutral,positive
pelayananya cepat suasananya tenang dan yang pasti makanannya enak banget makanya suka sekali aku ke gacoan,positive,positive,neutral
omgg enaqq beutt kalian harus mencoba untuk mu set coba bernilai itu sekali,neutral,neutral,neutral
harga naik tapi kualitas menurun enakan dulu,negative,neutral,negative
sangat sangat nyaman untuk nugas minumannya juga terjangkau dan enak enaakk,positive,positive,positive
pelayanan sangat Lama saya beli di tanggal juli pada jm,neutral,negative,neutral
untuk pelayanan nya oke namun yang harus di evaluasi adalah kebersihan di lt makanan dan minuman berserakan semua tidak Ada pegawai yang membersihkan,negative,negative,neutral
baksonya enak kuahnya juga sedap ketimbang bakso yang lain menurut saya cocok pokoknya cuma kalo rame harus sabar,positive,negative,neutral
sangat bagus dan enak dan banyak dan nyaman dan menarik,positive,positive,neutral
entah ini cuma perasaanku saja tapi mie nya beda enak pooll bumbunya meresap dan enggak nanggung harusnya resepnya sama kan rasanya sama ya tapi ini beda dari gacoan lain lebih enak masa pelayanan baik tempat bersih makanan di sajikan ketika masih panas thai teanya uenak pas enggak kemanisan enggak kurang oleh yang cara kesini pas jam malam tapi pegawainya pelayanannya masih tetap baik dan oke anda ve got my hormat gacoan sukun keren tidak bermaksud membandingkan dengan gacoan di tempat lainnya jujur ulasan setelah makan di gacoan lainnya juga,positive,positive,neutral
tempatnya pw cocok buat tugas harga kantong pelajar,neutral,neutral,positive
mie yamin ini lebih cocok buat foto daripada dimakan rasanya zonk total,negative,neutral,negative
pelayanannya lambat sudah cadangan urutan oleh obrolan hampir satu jam sampai di lokasi ditungguin menit lebih baru diinfoin menunya kosong kurang koordinasi ditambah server nya bolak balik kebingungan,negative,negative,neutral
tempat bagus rekomendasi untuk semua kalangan harga murah meriah dan enak mantap rasanya silakan gabung dan kunjungi sebagai tempat favorit anda,positive,neutral,positive
bakso disini lebih cocok buat latihan sabar daripada buat makan enak,negative,neutral,negative
bagi yang sudah sering di malang pasti tau gerai ayam geprek satu ini cabangnya Ada dimana mana sih Hahah tapi dari beberapa cabang yang saya kunjungi baru Kali ini saya melihat keberadaan udara kondisioner ac yang saya kurang tahu masih berhasil atau tidak karena saya berkunjung pada pagi hari dimana saat sepi pengunjung disana juga Ada promo yang lumayan hemat layak dicoba heheh,neutral,negative,positive
suka sama kopi studio sarangan sudah pasti bakal langganan disini sudah berkali ngechill santai ngerjain tugas kantor kopi studio reccommend jos di malang cuss,positive,positive,neutral
pelayanan ramah makanannya juga enak murmeh ramah dikantong mahasiswa,positive,positive,positive
outlet gacoan dengan konsep yang beda sedikit antri makanan jadinya cepat enggak menunggu Lama langsung di bawa sendiri parkir di dalam portal,neutral,positive,neutral
bagus sekali tempatnya nyaman buat makan bareng keluwrga pelayanannya ramah keren dijaga terus ya kualitasnya mantap gacoan stasiun,positive,positive,neutral
pelayanannya ramah sekali pilihan lauk banyak,neutral,positive,neutral
enak banget tempatnya nyaman,positive,neutral,neutral
tempat rekomen buat nugas enak banget,positive,neutral,neutral
tempatnya asik bersih untuk wifinya juga kencang dan pelayanannya terbaik selalu mengutamakan kenyamanan,neutral,positive,neutral
coba kembalikan alat pemanggil pelanggan supaya staffnya tidak perlu berteriak teriak untuk tempatnya nyaman buat kerja di kafe hanya saja colokan listrik kurang banyak untuk staf kasir mohon diperhatikan bagaimana Cara melayani pelanggan khususnya saat proses mengembalikan uang pembayaran dari pelanggan jika diawal pelanggan memberikan uang dengan total biaya belanja tertera pengembalian di struk karena kasir tidak Ada pecahan akhirnya saya diminta buat tambah lah kok saya hanya diberikan kembalian setelah saya bertambah ketika saya konfirmasi dengan menjelaskan alur pengembalian uang malah saya dikasih uang kembalian lagi karena tidak Ada kembaliannya mohon setiap outlet menyiapkan pecahan uang kecil yang cukup untuk kembalian pelanggan,neutral,negative,neutral
manisnya ga seimbang creamy cuma nama harga sok sultan,negative,neutral,negative
kasihan banget se rame ini karyawan nya cuma orang manajemen rusak sambel dapatnya sangat banyak cuma sendok,negative,negative,neutral
penyajianya cepat dan lezat,positive,positive,neutral
nasi pecel ini kalah jauh sama pecel murah,negative,neutral,negative
kafe nya mantap banget enak buat nugas terlebih minum dan makanannya cocok buat kaum mahasiswa kopi Ada krim nya Joss,positive,positive,neutral
makanan nya oke sih tapi pelayanan nya kurang banget meja berdebu enggak pernah di bersihkan pramusaji nya jutek kurang sopan ke pelanggan makanan minuman nya bernilai itu sih baru Kali ini dikasi nasi kering wkwk kurang pelayanan sama kebersihan,negative,negative,neutral
tempat ngopi paling enak nyaman dan yang terbaik paling suka minuman varian Ada krim,positive,positive,neutral
ini enak banget sih recommendet banget,positive,neutral,neutral
tiap ke banyuwangi mesti aku sempati mampir ke sini walau sederhana tapi khasnya itu yang bikin nagih,positive,neutral,neutral
tempat nya luas enak banget nyaman juga buat mahasiswa karena murah,positive,neutral,positive
bakso keras kuah hambar harga mahal combo paling ngeselin,negative,neutral,negative
cocok buat tempat nugas tempat nya enak,positive,neutral,neutral
tempat nya sudah bagus harga juga terjangkau tapi minus nya pelayanan kasir kurang memuaskan karena suaranya kecil lemas seperti belum makan seharian dan untuk minuman nya sayang sekali tidak tersedia panas minuman,neutral,negative,positive
tempat geprek kak mawar yang merajai geprek bagi anak Kos karena disini gepreknya murah banget sudah dapat geprek sama nasinya lagi k itu kisaran harga minumannya murah banget enggak tuh dengan porsi yang cukup bikin perut kecilku kenyang Hehe wajar saja kalo disini banyak banget antrian para ojek ojek online terkadang sampai gadapet tempat buat makan disini saking antrinya kadang bisa bikin makanannya itu Lama datengnya itu yang menyedihkan padahal ingin buru buru makan saran sih kalo mau makan sini jangan dijam jam makan pastinya itu rame,positive,negative,positive
beli enggak dikasih nota dan waktu penyajian sama masak enggak Ada yang pakai masker sama sekali semua karyawannya malah pada bercanda padahal Ada supervisor tapi tetap sama saja dari awal enggak Ada mengomong kalo enggak boleh tambah nasi ketika ditanya tetap kekeh enggak bisa tambah nasi padahal di semua cabangnya bisa bertambah nasi sikap semua karyawannya kurang banget di lantai kotorr samsek enggak dibersihinn enggak tau sejak kapan padahal bukanya jam tapi enggak layak banget,negative,negative,neutral
enak tempatnya bersih suka karena sayurnya tak terbatas,positive,positive,neutral
enak banget makanannya dan apalagi sambalnya sangat enak banget,positive,neutral,neutral
es kelapa muda gagal total harga sukses bikin emosi,negative,neutral,negative
saya mintak tolong kepeda manajer untuk di beri tau kepada karyawannya tolong untuk pembelian custamer maupun ojol yang beli luring ambil cara saya mintak tolong di berilkan nota saya beli luring ambil cara tidak di beri nota seharusnya kalau bisa di kasih nota untuk pembelian luring ambil cara saya baru Kali ini kalau beli luring tidak di beri nota ambil cara seharus nya di beri nota yang untuk ambil cara kasih nya bilang natik tunggu di panggil malah enggak di kasih nota mohon di perbaiki lagi ya untuk pembeliantake cara,neutral,negative,neutral
tempat paling enak buat nugas nyata langganan nugas kelompk,positive,neutral,neutral
makannya enak banget murah,positive,neutral,positive
favorit anak Kos dan bukan anak Kos yang kalo makan nasinya harus banyak makan ini bebas refil nasi th sambal sepuas nya sewaregnya sampai bledoss bissaa pelayanan super ramaah mau kasirnya mau masnya yang masak mau yang ngulek sambel mau yang bersih ramah baik semua,neutral,positive,positive
assalamu alaikum mbak mas izin menyampaikan keluh kesah nggih selama beberapa Kali nugas di sini kelebihan tempat nya sangat strategis dan cukup dekat dengan beberapa kampus seperti uin ub um dll makanya saya sering memilih nugas disini harga makanan dan minuman sangat bersahabat dengan kantong mahasiswa walaupun begitu rasa dari makanan minuman di sini menurut saya sangat enak dilidah saya sehingga betah bikin balik lagi wkwkw biasanya beli kopi susu Ada krim atau dingin seduh enak sih selama ini pelayanan sangat cepat jadi enggak menunggu Lama pesanan sudah siap kecuali mungkin kalau lagi ruamee sekali tapi selama ini aman aman saja mbak mas yang bertugas juga sangat ramah dan informatif kepada pelanggan Ada ruangan indoor dan outdoor enak jadi yang mau merokok bisa pilih outdoor kekurangan di ruangan indoor terkadang ac tidak dingin padahal ac dan ruangan tidak begitu besar mungkin harus di lakukan servis ac per berapa bulan atau minggu biar ac tetap dingin ini lumayan mengganggu karena kalau ac enggak dingin udara benar benar panas karena di indoor ruangan sangat kedap bahkan suara dari luar pun gamasuk toilet lantai menurut ku sangat sangat kurang sih seperti hampir enggak pernah di bersihkan toilet berwarna kuning enggak pernah di sikat lantai toilet juga kotor enggak pernah disikat sampai kadang Ada sampah di lantai toilet kadang tisu botol mineral dll dan sepertinya berhari hari disitu karena saya hampir tiap hari nugas di situ dan pas ke toilet kondisi toilet selalu sama dengan sampah yang sama dengan kotor yang sama berarti enggak pernah di bersihkan sampai maaf saya sebagai pelanggan pengunjung sampai turun tangan membersihkan toilet saya sering banget nyikat ngosek i lantai toilet dan buangin sampah di dalam toilet mohon di perhatikan kembali karena toilet tempat yang kotor kalau enggak du bersihkan bakal kotor banget dan mengganggu di toilet juga enggak Ada cantolan baju jadi enggak bisan nyantoli baju atau celana tempat naruh hujan singkatweather forecast toilet juga sudah lepas hampir sebulan ini enggak di perbaiki toliet juga sepertinya bocor bagian bawahnya jadi ketika kita ngeflush Ada udara yang keluar dari bawah dan itu sangat jorok mhon di benahi men saran saja mungkin di bagian indoor bisa di pasang tulisan dilarang berisik atau kecilkan suara ya karena menurut saya berisik di ruangan indoor itu sangat mengganggu karena ruangan kedap suara sering Kali kalau Ada orang berisik pengunjung lain menggunakan headset biar suara berisiknya enggak masuk di kuping jadi agak terganggung sih kalau nugas pas berisik karena terkdang orang berisiknya enggak ngira ngira ruangan jadi tau semua yang mereka mengomongkan beberapa Kali lihat di indoor Ada kecoak di bawah meja kecil kecil tapi kemarin lihat terlepas dari itu terimakasih kopi studio sigura gura telah memberikan ruang kepada kami untuk nugas ya walaupun masib banyak kekurangan tapi saya tetap balik nugas disitu tiap hari hahaha tetap bintang deh ya semoga masukan saya bisa menjadi bahan pertimbangan Agar bisa berbenah sehingga pengunjung membuat betah dan membuat ramai amin,positive,positive,positive
tempat okee rekomendasi untuk tempat nongki e orang nugas pelayannya juga ramah,positive,positive,neutral
salah satu cabang mie gacoan baru yang ramai seperti biasa pelayanan cukup oke dan cepat karena belum terlalu ramai juga rasa makanan ya seperti gacoan pada biasanya yang terbilang oke juga daerah juga cukup bersih keseluruhan disarankan juga yang di cabang ini,neutral,positive,neutral
warga ngalam wajib mampir sini menunya banyak dan minumannya mantap sekali tempatnya banyak spot fotonya buat rapat nugas dll cocok,positive,neutral,neutral
pelayan cepat dan ramah lokasi strategis dekat sama stasiun balkot gedung dpr sekolah taman tempat les,neutral,positive,neutral
pelayanan Lama enggak bisa diandelin suasana pengap menunggu sangat Lama dari maghrib sampai isya lebih tempat kotor,neutral,negative,neutral
pelayanan lemot sekali dan tidak ramah,neutral,negative,neutral
beli teh tarik niatnya nikmat malah dapet rasa susu airan mahal pula,negative,neutral,negative
enak ayamnya enggak menyangka,positive,neutral,neutral
tempatnya bersih pelayanannya bagus banget dan ramah,neutral,positive,neutral
alhamdulillah enak,positive,neutral,neutral
tempatnya nyaman makanannya enak enak,positive,neutral,neutral
